emp_no,first_name,last_name,dept_name,from_date,to_date
10219,Genta,Kolvik,Development,1994-10-23,9999-01-01
10224,Leon,Trogemann,Production,1988-01-09,9999-01-01
10228,Karoline,Cesareni,Marketing,1993-01-28,9999-01-01
10230,Clyde,Vernadat,Research,1996-06-16,9999-01-01
10233,Lein,Vendrig,Human Resources,1994-04-29,9999-01-01
10239,Nikolaos,Llado,Marketing,1996-05-04,9999-01-01
10240,Remko,Maccarone,Quality Management,1998-10-06,9999-01-01
10248,Frederique,Tempesti,Sales,1991-08-13,9999-01-01
10249,Marie,Boreale,Research,1998-04-13,9999-01-01
10258,Basil,Ishibashi,Development,1985-05-17,9999-01-01
10262,Mahendra,Maraist,Sales,1996-01-22,9999-01-01
10272,Yishai,Cannane,Finance,1997-10-23,9999-01-01
10281,Moty,Kusakari,Quality Management,1994-12-03,9999-01-01
10282,Hercules,Benzmuller,Production,1996-05-02,9999-01-01
10283,Kauko,Birjandi,Development,1988-05-25,9999-01-01
10284,Masali,Murrill,Production,1999-07-06,9999-01-01
10295,Kristine,Velardi,Finance,1995-06-19,9999-01-01
10298,Dietrich,DuCasse,Production,2002-05-05,9999-01-01
10306,Heng,Kilgour,Sales,1993-09-06,9999-01-01
10307,Nikolaos,Leaver,Quality Management,2000-01-21,9999-01-01
10322,Isamu,Dahlbom,Development,1990-01-29,9999-01-01
10325,Arunachalam,Badr,Human Resources,1990-09-20,9999-01-01
10326,Masali,Czap,Research,1998-09-02,9999-01-01
10328,Serenella,Kawashima,Development,1998-07-17,9999-01-01
10333,Snehasis,Dymetman,Development,1993-01-16,9999-01-01
10340,Djelloul,Laventhal,Marketing,1988-03-30,9999-01-01
10343,Dinah,Syrzycki,Quality Management,1997-10-03,9999-01-01
10347,Pradeep,Kaminger,Research,1998-02-20,9999-01-01
10349,Oksana,Brodie,Customer Service,1991-09-28,9999-01-01
10353,Phule,Hammerschmidt,Marketing,1989-08-24,9999-01-01
10355,Satyanarayana,Cochrane,Sales,1996-01-26,9999-01-01
10356,Vasilis,Standera,Research,1995-06-26,9999-01-01
10358,Qunsheng,Tagansky,Development,1991-02-19,9999-01-01
10364,Nakhoon,Dengi,Production,1985-11-14,9999-01-01
10367,Hyuckchul,Gini,Marketing,1991-06-24,9999-01-01
10372,Anneli,Frijda,Production,1985-07-30,9999-01-01
10377,Marl,Grospietsch,Production,1996-08-24,9999-01-01
10387,Parto,Wrigley,Customer Service,1994-01-07,9999-01-01
10388,Hironoby,Kaiser,Sales,1999-05-28,9999-01-01
10389,Make,Peir,Development,1999-05-13,9999-01-01
10396,Sibyl,Rahier,Development,1986-01-11,9999-01-01
10397,Irena,Reutenauer,Production,1993-05-21,9999-01-01
10402,Volkmar,Ebeling,Quality Management,1987-01-02,9999-01-01
10404,Prodip,Rosti,Development,1988-08-28,9999-01-01
10407,Ulf,Siepmann,Sales,1999-10-30,9999-01-01
10413,Danel,Impagliazzo,Human Resources,1991-12-27,9999-01-01
10418,Candida,Porotnikoff,Marketing,1996-10-04,9999-01-01
10422,Greger,Rubsam,Quality Management,1997-09-30,9999-01-01
10426,Arunas,Luce,Development,1985-07-06,9999-01-01
10429,Martien,Improta,Development,1988-09-23,9999-01-01
10432,Hisao,Tiemann,Customer Service,1990-08-13,9999-01-01
10433,Reuven,Dengi,Quality Management,1992-11-26,9999-01-01
10451,Bodh,Ranta,Production,1988-03-12,9999-01-01
10453,Tsvetan,Matzel,Customer Service,1985-04-02,9999-01-01
10463,Ung,Zaiane,Sales,1994-02-17,9999-01-01
10477,Guoxiang,Trogemann,Development,1997-05-26,9999-01-01
10486,Amstein,Kossowski,Quality Management,1987-10-08,9999-01-01
10494,Yakkov,Servieres,Production,1991-12-18,9999-01-01
10497,Pramod,Rabehasaina,Production,1992-01-22,9999-01-01
10499,Maik,Luft,Sales,1998-03-16,9999-01-01
10503,Dannz,Pell,Production,1997-03-13,9999-01-01
10504,Xiong,Varker,Sales,1999-10-19,9999-01-01
10509,Abdelwaheb,Riesenhuber,Sales,1992-10-06,9999-01-01
10512,Udi,Gihr,Human Resources,1989-11-28,9999-01-01
10517,Tiina,Speek,Sales,1990-12-25,9999-01-01
10522,Marke,Cesareni,Human Resources,1986-12-12,9999-01-01
10529,Ymte,Yetto,Production,1999-06-12,9999-01-01
10531,Oguz,Gimbel,Human Resources,1995-03-16,9999-01-01
10542,Yannis,Couchot,Development,1992-02-07,9999-01-01
10548,Ramalingam,Gunderson,Marketing,1991-10-04,9999-01-01
10552,Kazuhito,Shiratori,Production,1998-08-31,9999-01-01
10564,Jianhao,Thisen,Production,1995-11-23,9999-01-01
10568,Gao,Poulakidas,Sales,1995-07-08,9999-01-01
10586,Kirk,Vuskovic,Production,1992-02-04,9999-01-01
10593,Falguni,Kenevan,Production,2000-03-29,9999-01-01
10596,Sanjit,Coors,Sales,1996-05-23,9999-01-01
10603,Wayne,Restivo,Sales,1995-07-20,9999-01-01
10610,Irena,Roccetti,Development,1997-03-30,9999-01-01
10614,Gila,Ozeri,Customer Service,1997-02-27,9999-01-01
10615,Keung,Delgrande,Finance,1996-03-10,9999-01-01
10623,Aleksander,Danlos,Research,1996-02-11,9999-01-01
10624,Sham,Gyorkos,Production,1990-05-07,9999-01-01
10628,Krisda,Krogh,Development,1987-03-14,9999-01-01
10630,Bezalel,Katzenelson,Production,1997-01-13,9999-01-01
10631,Inderjeet,Chaudhuri,Development,1994-10-18,9999-01-01
10634,Nahid,Chepyzhov,Research,1994-04-02,9999-01-01
10636,Saeko,Porotnikoff,Human Resources,1996-09-25,9999-01-01
10639,Pramod,Erol,Development,1992-10-25,9999-01-01
10641,Guozhong,Zucker,Development,1993-03-21,9999-01-01
10642,Hirochika,Narlikar,Development,1998-10-05,9999-01-01
10653,Otmar,Feinberg,Development,1987-04-30,9999-01-01
10667,Makato,Cusworth,Customer Service,1999-07-28,9999-01-01
10671,Parviz,Rebaine,Human Resources,1995-09-14,9999-01-01
10676,Valeri,Danley,Development,1999-09-04,9999-01-01
10683,Guiseppe,Stranks,Production,1997-06-23,9999-01-01
10693,Berhard,Daescu,Customer Service,1986-01-08,9999-01-01
10696,Unal,Fendler,Development,1991-09-09,9999-01-01
10702,Bader,Szemeredi,Development,1991-01-14,9999-01-01
10712,Uma,Koprowski,Development,1994-08-18,9999-01-01
10718,Adib,Rullman,Development,1988-07-21,9999-01-01
10726,Zita,Minakawa,Development,1992-02-25,9999-01-01
10734,Sachar,Erdi,Production,1995-12-19,9999-01-01
10741,Sven,Huttel,Marketing,1989-01-06,9999-01-01
10742,Shim,Wiegley,Development,1997-04-03,9999-01-01
10745,Poorav,Ranze,Production,1988-01-23,9999-01-01
10749,King,Brendel,Production,1985-09-26,9999-01-01
10750,Roddy,Demeyer,Development,1998-11-06,9999-01-01
10764,Yunming,Beetstra,Development,1989-11-27,9999-01-01
10767,Monique,Doering,Sales,1997-07-15,9999-01-01
10768,Ishfaq,Candan,Production,1985-07-04,9999-01-01
10778,Selwyn,Merey,Marketing,1986-07-04,9999-01-01
10791,Tadahiko,Sgarro,Development,1988-07-30,9999-01-01
10795,Supot,Naudin,Sales,1993-05-03,9999-01-01
10808,Chenxi,Leijenhorst,Development,1987-03-07,9999-01-01
10811,Ashish,Fortenbacher,Production,1997-07-08,9999-01-01
10813,Shalesh,Shumilov,Sales,1990-04-27,9999-01-01
10814,Nidapan,Dymetman,Sales,1993-07-17,9999-01-01
10826,Arnd,Anandan,Development,1993-01-22,9999-01-01
10827,Willard,Danley,Finance,1996-11-07,9999-01-01
10830,Fen,Fiebach,Marketing,1991-08-24,9999-01-01
10831,Toong,Driscoll,Development,1998-02-22,9999-01-01
10833,Krisda,Gecseg,Quality Management,1998-12-23,9999-01-01
10834,Huiqun,Rajcani,Production,1990-11-24,9999-01-01
10835,Tomoyuki,Kermarrec,Production,1995-08-22,9999-01-01
10836,Jianhua,Leivant,Customer Service,1991-07-01,9999-01-01
10844,Dipayan,Koprowski,Development,1997-04-25,9999-01-01
10846,Tokuyasu,Serre,Research,1997-04-03,9999-01-01
10847,Theirry,Danley,Research,1986-07-25,9999-01-01
10848,Fen,Bratsberg,Production,1985-04-20,9999-01-01
10849,Makato,Mayerwieser,Development,1995-06-25,9999-01-01
10854,Jagoda,Nannarelli,Development,1998-07-13,9999-01-01
10858,Kenroku,Gonthier,Development,1997-01-01,9999-01-01
10871,Aram,Gilg,Customer Service,1999-06-16,9999-01-01
10872,Karoline,Speel,Finance,1990-09-06,9999-01-01
10873,Sukumar,Wegerle,Finance,1994-03-23,9999-01-01
10878,Lakshmi,Deville,Sales,1997-04-25,9999-01-01
10879,Muzhong,Chleq,Development,1985-08-15,9999-01-01
10882,Fun,Heuser,Development,1999-04-29,9999-01-01
10883,Shimshon,Champarnaud,Production,1996-12-28,9999-01-01
10885,Rayond,Cronau,Marketing,1997-09-29,9999-01-01
10887,Lunjin,DeMori,Development,1989-03-17,9999-01-01
10900,Ferdinand,Prenel,Development,1995-09-07,9999-01-01
10906,Munehiro,Carrere,Sales,2001-04-25,9999-01-01
10909,Georgi,Atchley,Development,1993-12-26,9999-01-01
10913,Narain,Thummel,Finance,1998-10-25,9999-01-01
10920,Ronghao,Narahara,Human Resources,1992-02-24,9999-01-01
10921,Mara,Bahi,Production,1986-07-27,9999-01-01
10924,Hironoby,Atchley,Sales,1988-08-14,9999-01-01
10926,Leni,Eppinger,Customer Service,1992-11-04,9999-01-01
10927,Gal,Scallan,Marketing,1986-09-12,9999-01-01
10930,Arch,Minakawa,Production,1991-11-22,9999-01-01
10932,Avishai,Picci,Development,1994-09-09,9999-01-01
10936,Mountaz,Schicker,Human Resources,1990-05-09,9999-01-01
10942,Toshimitsu,Larfeldt,Development,1996-01-21,9999-01-01
10943,Berna,Skafidas,Development,1993-05-22,9999-01-01
10944,Remko,Zyda,Production,1995-09-07,9999-01-01
10947,Gor,Usery,Customer Service,1995-11-16,9999-01-01
10949,Shigeichiro,Wroclawski,Finance,1990-06-29,9999-01-01
10956,Arno,Picel,Production,1997-02-10,9999-01-01
10965,Eckart,Braunschweig,Sales,1986-07-29,9999-01-01
10969,Premal,Noriega,Development,1994-05-12,9999-01-01
10974,Muneo,Papsdorf,Development,1999-05-17,9999-01-01
10986,Masako,Schiper,Development,1985-10-11,9999-01-01
10987,Flemming,Baezner,Development,1997-05-21,9999-01-01
10988,Chinya,Deyuan,Development,1985-06-19,9999-01-01
10989,Sumali,Candan,Finance,1985-07-20,9999-01-01
10990,Shin,Foote,Development,1990-08-06,9999-01-01
10996,Matk,Rahimi,Sales,1990-02-07,9999-01-01
11004,JoAnna,Decleir,Quality Management,2002-06-19,9999-01-01
11009,Alper,Axelband,Sales,1986-09-09,9999-01-01
11012,Taegyun,Speckmann,Customer Service,2000-03-16,9999-01-01
11019,Leon,Huttel,Development,1992-05-24,9999-01-01
11021,Srinidhi,Henders,Research,1998-02-02,9999-01-01
11027,Remzi,Cappello,Production,1986-05-07,9999-01-01
11031,Ottavia,Walstra,Marketing,1985-10-24,9999-01-01
11032,Erez,Schaaf,Development,2000-12-15,9999-01-01
11037,Lansing,Maliniak,Production,1988-01-28,9999-01-01
11038,Jinya,Beidas,Research,1985-07-15,9999-01-01
11042,Gou,Breugel,Development,1993-06-21,9999-01-01
11048,Jaques,Demke,Sales,1999-05-27,9999-01-01
11050,Elvis,Katiyar,Marketing,1986-05-06,9999-01-01
11051,Przemyslawa,Erol,Production,1991-03-27,9999-01-01
11056,Palash,Speel,Sales,1997-07-01,9999-01-01
11061,Pintsang,Erni,Sales,1997-01-15,9999-01-01
11064,Shawna,Vieri,Production,1990-02-28,9999-01-01
11066,Shaz,Langford,Finance,1996-04-30,9999-01-01
11070,Adib,Raney,Quality Management,1985-07-24,9999-01-01
11071,Kwan,Sigstam,Development,1992-05-23,9999-01-01
11075,Karsten,Belinskaya,Production,1998-05-06,9999-01-01
11079,Piyush,Garigliano,Development,1994-05-26,9999-01-01
11081,Barry,Boyle,Finance,1985-06-17,9999-01-01
11083,Shimshon,Ducloy,Human Resources,1998-05-14,9999-01-01
11084,Greger,Senzako,Production,1990-05-31,9999-01-01
11085,Hailing,Thummel,Production,1996-02-10,9999-01-01
11087,Changho,Jayawardene,Production,1998-03-18,9999-01-01
11089,Conal,Henders,Sales,1994-08-13,9999-01-01
11091,Souichi,Ramsay,Production,1999-09-11,9999-01-01
11092,Narain,Stamatiou,Marketing,2002-04-25,9999-01-01
11098,Arnd,Covnot,Development,1997-01-08,9999-01-01
11100,Berna,Cochrane,Research,1986-10-13,9999-01-01
11106,Aris,Iwayama,Development,1985-08-31,9999-01-01
11111,Udi,Zastre,Production,1994-12-25,9999-01-01
11112,Boaz,Mukaidono,Customer Service,1995-04-28,9999-01-01
11113,Shahab,Peng,Marketing,1985-11-30,9999-01-01
11121,Vugranam,Kakkad,Development,1992-10-31,9999-01-01
11130,Xinyu,Menhoudj,Human Resources,1997-02-17,9999-01-01
11132,Kristin,Harnett,Production,1994-08-30,9999-01-01
11133,Nalini,Azulay,Quality Management,1994-03-06,9999-01-01
11134,Sachar,Rajcani,Quality Management,1993-05-19,9999-01-01
11137,Hugh,Luca,Development,1995-03-16,9999-01-01
11139,Bogdan,Homond,Customer Service,1990-05-11,9999-01-01
11143,Yongdong,Rosen,Development,1996-05-09,9999-01-01
11144,Carrsten,Heinisuo,Sales,1996-07-19,9999-01-01
11146,Ishfaq,Masand,Sales,1991-08-22,9999-01-01
11147,Ayonca,Nitsch,Development,1997-12-04,9999-01-01
11148,Zhanqiu,Botman,Human Resources,1991-12-12,9999-01-01
11158,Masaki,Hagimont,Production,1996-04-20,9999-01-01
11162,Kauko,Narlikar,Development,1985-03-28,9999-01-01
11168,Shmuel,Tetzlaff,Sales,1996-07-15,9999-01-01
11170,Minghong,Cannard,Development,1990-06-20,9999-01-01
11174,Akhilish,Milicia,Production,1999-06-07,9999-01-01
11177,Chrisa,dAstous,Development,1999-09-11,9999-01-01
11180,Mitsuyuki,Bojadziev,Development,1986-06-11,9999-01-01
11181,Hausi,Cullers,Development,1997-11-03,9999-01-01
11185,Aloys,Baezner,Customer Service,1995-01-26,9999-01-01
11186,Kshitij,Stasinski,Production,1994-12-10,9999-01-01
11189,Dante,Bodoff,Sales,1991-09-07,9999-01-01
11192,Apostol,Bahr,Quality Management,1998-04-07,9999-01-01
11197,Tadahiro,Fordan,Sales,1989-09-12,9999-01-01
11201,Jouko,Masaki,Research,1995-10-31,9999-01-01
11204,Diederik,Covnot,Production,1985-09-18,9999-01-01
11207,Saeed,Gips,Development,1999-01-31,9999-01-01
11208,Saniya,Valtorta,Production,1994-11-17,9999-01-01
11211,Yurij,Rissland,Production,1985-09-17,9999-01-01
11213,Vugranam,Munoz,Production,1999-02-04,9999-01-01
11217,Kellie,Mawatari,Production,1990-03-11,9999-01-01
11229,Gretta,Ramamoorthy,Quality Management,1993-07-06,9999-01-01
11232,Hidefumi,Crelier,Customer Service,1994-08-02,9999-01-01
11233,Sanjit,Waschkowski,Development,1991-12-14,9999-01-01
11240,Kiam,Condotta,Development,1989-01-06,9999-01-01
11243,Udi,Desikan,Production,2000-01-20,9999-01-01
11249,Randi,Cyre,Development,1986-09-22,9999-01-01
11251,Bezalel,Chinal,Marketing,1986-06-15,9999-01-01
11253,Koldo,Pokrovskii,Development,1992-05-22,9999-01-01
11254,Danel,Rindone,Sales,1998-12-19,9999-01-01
11258,Aris,Maccarone,Customer Service,1991-03-28,9999-01-01
11266,Florina,Rohrbach,Quality Management,1997-05-12,9999-01-01
11267,Shaunak,Zaumen,Research,1997-07-29,9999-01-01
11268,Aimee,Petersohn,Production,1987-10-25,9999-01-01
11274,Masanao,Nicolson,Customer Service,1999-12-13,9999-01-01
11275,Hitomi,Eppinger,Development,1989-04-25,9999-01-01
11289,Chuanti,Cherinka,Development,1989-02-22,9999-01-01
11290,Visit,Dredge,Development,1999-05-13,9999-01-01
11292,Souichi,Sichman,Development,1989-02-11,9999-01-01
11294,Tru,Segond,Development,1989-06-13,9999-01-01
11295,Abdelkader,Lanzelotte,Finance,1985-05-15,9999-01-01
11296,Hironobu,Kenevan,Production,1989-09-26,9999-01-01
11301,Mingzeng,Oxenboll,Human Resources,1989-05-23,9999-01-01
11317,Shigeaki,Hagimont,Development,1998-07-04,9999-01-01
11319,Pranas,Marrakchi,Development,1998-11-01,9999-01-01
11320,Atilio,McAlpine,Marketing,1990-04-06,9999-01-01
11322,Nathalie,Pocchiola,Quality Management,1985-07-07,9999-01-01
11324,Kauko,Billingsley,Production,1985-08-29,9999-01-01
11325,Samphel,Rossi,Development,1999-01-10,9999-01-01
11326,Munenori,Plesums,Development,1990-02-19,9999-01-01
11338,Kwangsub,Hanratty,Sales,1998-10-28,9999-01-01
11339,Flemming,Massonet,Production,1989-12-19,9999-01-01
11340,Aris,Bala,Production,1991-09-11,9999-01-01
11343,Susanne,Erez,Development,1989-02-27,9999-01-01
11347,Anneli,Jonsson,Development,1986-04-20,9999-01-01
11349,Yurii,Hammerschmidt,Production,1992-06-27,9999-01-01
11360,Fen,Schach,Sales,1989-01-12,9999-01-01
11365,Toshimi,Shinomoto,Production,1997-12-18,9999-01-01
11373,Yongmao,Keohane,Customer Service,1992-07-18,9999-01-01
11376,Valery,Suomi,Research,1986-03-14,9999-01-01
11380,Kenroku,Pelc,Development,1991-04-19,9999-01-01
11385,Shiv,Ullian,Production,1999-08-08,9999-01-01
11386,Alselm,Assaf,Quality Management,1987-11-30,9999-01-01
11393,Junsik,Junot,Production,1985-04-30,9999-01-01
11396,Anneke,Servieres,Development,1997-02-04,9999-01-01
11398,Oscar,Peir,Finance,1994-09-07,9999-01-01
11401,Huan,Merey,Sales,1995-04-15,9999-01-01
11404,Bedrich,Borovoy,Development,1990-09-25,9999-01-01
11406,Eberhardt,Gini,Research,1989-03-13,9999-01-01
11410,Gro,Vendrig,Development,1999-10-25,9999-01-01
11415,Sanjiv,Anido,Production,1996-12-07,9999-01-01
11417,Anneli,Cyne,Quality Management,1992-12-21,9999-01-01
11418,Satosi,Cooley,Marketing,1999-11-23,9999-01-01
11420,Tsutomu,Lalonde,Human Resources,1992-01-31,9999-01-01
11421,Josyula,Msuda,Production,1986-09-02,9999-01-01
11423,Guangming,Kopetz,Customer Service,1998-10-13,9999-01-01
11425,Renee,Crelier,Development,1990-08-27,9999-01-01
11441,Marlo,Aingworth,Sales,1987-03-27,9999-01-01
11446,Naftali,Narahara,Development,2001-11-20,9999-01-01
11449,Kotesh,Asser,Production,1995-02-03,9999-01-01
11451,Eben,Rajaraman,Production,1990-05-20,9999-01-01
11452,Shigehito,Luby,Customer Service,1993-08-26,9999-01-01
11459,Duke,Suomi,Human Resources,1986-05-03,9999-01-01
11460,Mana,Maraist,Production,1992-05-28,9999-01-01
11469,Guttorm,Giaccio,Production,1994-09-08,9999-01-01
11474,Gennady,Akazan,Production,1995-09-24,9999-01-01
11476,Manton,Yoshizawa,Marketing,1994-01-15,9999-01-01
11479,Shridhar,Pleszkun,Finance,1999-02-10,9999-01-01
11503,Nathan,Picht,Development,1997-04-09,9999-01-01
11506,Rance,Picel,Sales,1996-04-08,9999-01-01
11509,Aleksander,Feldhoffer,Development,1987-11-12,9999-01-01
11513,Otmar,Mahnke,Finance,1992-08-25,9999-01-01
11515,Ulf,Basawa,Sales,1998-09-21,9999-01-01
11518,Jinxi,Oxman,Human Resources,1994-09-22,9999-01-01
11519,Halsur,Chinen,Sales,1997-06-12,9999-01-01
11523,Yuguang,Pezzoli,Development,1992-12-23,9999-01-01
11524,Xiadong,Standera,Development,1996-07-05,9999-01-01
11527,Alagu,Boyle,Marketing,1999-01-28,9999-01-01
11528,Zito,Dolinsky,Production,1987-06-15,9999-01-01
11531,Radhika,Motley,Production,1992-11-04,9999-01-01
11533,Vitaly,Lorch,Development,1991-08-20,9999-01-01
11537,DAIDA,Pehl,Sales,1986-07-06,9999-01-01
11540,Chanjung,Portugali,Production,1997-07-02,9999-01-01
11554,Subhash,Taubenfeld,Marketing,1999-02-21,9999-01-01
11555,Kotesh,Perfilyeva,Human Resources,1986-10-14,9999-01-01
11567,Teiji,Mitzlaff,Sales,1988-02-03,9999-01-01
11568,Martins,Fujisaki,Development,1992-03-13,9999-01-01
11573,Pranas,Hutton,Development,1990-02-04,9999-01-01
11575,Godehard,Plotkin,Development,1994-06-01,9999-01-01
11577,Mayumi,Deyuan,Quality Management,1992-09-23,9999-01-01
11581,Patricio,Rosenbaum,Development,1992-11-13,9999-01-01
11587,Shem,Zambonelli,Development,1989-04-24,9999-01-01
11589,Gina,Plessier,Development,1994-05-06,9999-01-01
11595,Takanari,Kamber,Marketing,1992-09-08,9999-01-01
11596,Yannik,Gunderson,Finance,1995-11-23,9999-01-01
11602,Somnath,Malabarba,Marketing,1993-06-21,9999-01-01
11603,Herb,Swen,Finance,1985-04-13,9999-01-01
11606,Perry,Pepe,Customer Service,1994-09-27,9999-01-01
11607,Tomokazu,Foong,Production,1995-04-19,9999-01-01
11615,Shem,Isaak,Sales,1991-08-29,9999-01-01
11616,Zhilian,Brendel,Production,1993-12-30,9999-01-01
11624,Adil,Gammage,Production,1989-07-15,9999-01-01
11628,Fan,Malinowski,Research,1995-04-23,9999-01-01
11640,Valeri,Coorg,Development,1988-09-26,9999-01-01
11641,Chikako,Rothenberg,Development,1991-06-18,9999-01-01
11644,Sanjit,Zaiane,Production,1995-08-09,9999-01-01
11646,Lobel,Rubsam,Development,1999-12-15,9999-01-01
11647,Magy,Nitsche,Development,1988-05-11,9999-01-01
11649,Shen,Bernardinello,Research,2002-06-22,9999-01-01
11660,Gill,Stenning,Sales,1986-11-22,9999-01-01
11664,Oksana,Brizzi,Sales,1990-09-07,9999-01-01
11667,Kristian,Marchegay,Marketing,1990-09-08,9999-01-01
11673,Henk,Felder,Production,1989-06-10,9999-01-01
11676,Valeri,Ferriere,Production,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,Production,1988-08-27,9999-01-01
11684,Oksana,Gide,Marketing,1986-02-21,9999-01-01
11690,Domenick,Raczkowsky,Human Resources,1997-09-23,9999-01-01
11693,Hideo,Coorg,Development,1991-08-24,9999-01-01
11696,Dante,Rothe,Sales,1985-10-23,9999-01-01
11713,Danel,Heusch,Quality Management,1997-09-05,9999-01-01
11732,Sanjoy,Ranft,Customer Service,2002-07-12,9999-01-01
11733,Leszek,Sudbeck,Development,1992-01-12,9999-01-01
11735,Amalendu,Picci,Customer Service,1988-07-14,9999-01-01
11736,Shugo,Uchoa,Production,1994-03-07,9999-01-01
11737,Martina,Garnier,Quality Management,1995-07-11,9999-01-01
11746,Koichi,Marrakchi,Sales,1988-11-17,9999-01-01
11748,Lihong,Massonet,Development,1996-07-24,9999-01-01
11751,Jiafu,Emiris,Research,1988-11-03,9999-01-01
11756,Abdelwaheb,Vakili,Development,1999-11-26,9999-01-01
11763,Yuriy,Liesche,Development,1997-04-18,9999-01-01
11764,Sanjay,Anick,Production,1991-12-16,9999-01-01
11765,Zorica,Junet,Human Resources,1991-07-04,9999-01-01
11769,Chandrasekaran,Lampe,Development,1999-04-18,9999-01-01
11770,Arumugam,Jakobus,Development,1992-11-29,9999-01-01
11772,Gaurav,Penz,Development,1999-11-07,9999-01-01
11774,Aron,Wroclawski,Production,1998-11-26,9999-01-01
11778,Dhritiman,Fontan,Production,1992-12-28,9999-01-01
11779,Shunichi,Thombley,Research,1996-11-21,9999-01-01
11791,Gal,Mamelak,Development,1994-11-15,9999-01-01
11797,Chenxi,Thambidurai,Marketing,1996-09-28,9999-01-01
11801,Tommaso,Dayang,Sales,1992-06-12,9999-01-01
11807,Chriss,Binding,Customer Service,1994-09-16,9999-01-01
11810,Amabile,Bhattacharjee,Development,1992-01-05,9999-01-01
11811,Herb,Boissier,Sales,1992-03-28,9999-01-01
11817,Niranjan,Markovitch,Sales,1986-04-12,9999-01-01
11822,Sastry,Madeira,Customer Service,1996-07-07,9999-01-01
11823,Weiyi,Iacovou,Research,1997-07-02,9999-01-01
11829,Chaosheng,Pettis,Production,1999-10-11,9999-01-01
11832,Arto,Zlotek,Development,1996-02-04,9999-01-01
11836,Ortrud,Bakhtari,Research,1989-07-28,9999-01-01
11841,Elvia,Bugrara,Customer Service,1996-10-24,9999-01-01
11842,Moto,Piazza,Research,1991-12-11,9999-01-01
11844,Shawna,Demeyer,Development,1988-01-27,9999-01-01
