emp_no,first_name,last_name,birth_date,from_date,to_date,dept_name
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Development
18583,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Customer Service
18617,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Human Resources
18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Development
19236,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Production
19350,Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01,Customer Service
19803,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Development
20100,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Marketing
20128,Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01,Customer Service
20129,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Production
20248,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Customer Service
20313,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01,Production
20500,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01,Customer Service
20885,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Production
21181,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Production
21188,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Development
21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Marketing
21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Development
21909,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Sales
22185,Huai,Birch,1965-01-29,2002-06-12,9999-01-01,Production
22415,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Sales
22451,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Development
22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Marketing
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Production
23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Production
24080,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01,Development
24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Development
24377,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Quality Management
24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Sales
24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Sales
24571,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Production
25488,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01,Research
26629,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01,Research
26671,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Development
26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Development
27331,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01,Customer Service
27378,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01,Finance
27620,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01,Production
27686,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Sales
27699,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01,Production
27767,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01,Customer Service
28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Development
28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Development
28988,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01,Production
29130,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01,Marketing
29265,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01,Customer Service
29380,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01,Production
29418,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01,Production
29679,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Development
29782,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01,Production
29954,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01,Production
30007,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01,Production
30035,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01,Research
30154,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01,Development
30182,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Development
30465,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Development
30484,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01,Sales
30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Development
30938,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Marketing
31147,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01,Finance
31188,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01,Production
31207,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Production
31341,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Finance
31514,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Development
31568,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Marketing
31909,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01,Production
32347,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Marketing
32552,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01,Development
32649,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Research
32714,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01,Marketing
32844,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01,Development
33025,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01,Customer Service
33215,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01,Production
33722,Anwar,Collette,1965-01-15,2001-02-03,9999-01-01,Research
34077,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Sales
34261,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01,Human Resources
34446,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Development
34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Production
34505,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01,Sales
34533,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01,Quality Management
34780,Moni,Kohling,1965-01-16,2001-09-18,9999-01-01,Sales
34788,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01,Production
34936,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01,Production
35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Production
35087,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01,Customer Service
35441,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01,Research
35642,Ashish,Talmon,1965-01-30,1999-02-28,9999-01-01,Quality Management
35793,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Customer Service
35798,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Development
36521,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01,Finance
36626,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Sales
36733,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01,Customer Service
36844,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Customer Service
36982,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Quality Management
37070,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01,Customer Service
37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Development
38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Development
38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Production
38168,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01,Sales
38550,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Quality Management
38593,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Production
38947,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01,Marketing
39000,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Research
39036,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01,Human Resources
39301,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Research
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Production
39952,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Sales
40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Sales
40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Development
40301,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01,Customer Service
40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Development
40765,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Research
40773,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Customer Service
40983,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01,Development
41114,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01,Production
41137,Bikash,Buchter,1965-01-20,1996-01-08,9999-01-01,Customer Service
41357,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01,Development
41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Production
41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Development
41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Sales
42778,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Human Resources
42911,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01,Production
42950,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01,Research
42955,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01,Quality Management
43154,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Finance
43733,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01,Human Resources
43848,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01,Production
44054,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01,Development
44265,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01,Development
44540,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01,Development
44900,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01,Marketing
44959,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Production
44962,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01,Development
45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Development
46000,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01,Customer Service
46328,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01,Sales
46811,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Production
46834,Tooru,Daescu,1965-01-22,1998-03-20,9999-01-01,Sales
46943,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01,Development
47016,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01,Customer Service
47139,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01,Development
47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Development
47515,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01,Development
47702,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01,Sales
47708,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01,Marketing
48275,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Sales
48690,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01,Human Resources
48882,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Production
48904,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01,Finance
48947,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01,Sales
49010,Kazuhisa,Benantar,1965-01-16,1990-03-30,9999-01-01,Marketing
49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Development
49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Production
49177,Tze,Bach,1965-01-03,1999-03-09,9999-01-01,Production
49464,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01,Sales
49477,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01,Human Resources
50293,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01,Production
50311,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01,Quality Management
50453,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01,Finance
50670,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01,Marketing
50831,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01,Production
51036,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01,Sales
51057,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01,Marketing
51060,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Development
51142,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Development
52038,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Production
52040,Phule,Heijenga,1965-01-14,1996-12-08,9999-01-01,Development
52283,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01,Research
52386,Adas,Denti,1965-01-28,1986-05-30,9999-01-01,Sales
52590,Jouni,Munoz,1965-01-21,1996-10-07,9999-01-01,Development
52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Customer Service
52639,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01,Sales
52770,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01,Sales
52778,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Quality Management
52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Quality Management
52970,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Production
53278,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Sales
53314,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01,Research
53431,Sham,Vasanthakumar,1965-01-12,1993-05-24,9999-01-01,Customer Service
53499,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Production
53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Development
53874,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Marketing
53924,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Production
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Development
54632,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01,Finance
54795,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01,Production
54800,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01,Sales
55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Production
55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Development
55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Production
55857,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,Sales
56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Development
56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Production
56415,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,Finance
56428,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,Sales
56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Development
56829,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01,Quality Management
56847,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01,Quality Management
57934,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,Development
58141,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,Finance
58147,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,Marketing
58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Development
58454,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01,Production
58497,Yechiam,Cairo,1965-01-22,2000-10-21,9999-01-01,Marketing
58819,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,Sales
58990,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,Development
59195,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,Development
59640,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01,Finance
59869,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01,Marketing
59966,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01,Production
60000,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01,Development
60091,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01,Customer Service
60238,Erzsebet,Claffy,1965-01-23,1999-02-19,9999-01-01,Marketing
60559,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Production
60821,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01,Human Resources
60845,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01,Production
60875,Rildo,Masaki,1965-01-21,1990-01-14,9999-01-01,Quality Management
60959,Tetsushi,Sridhar,1965-01-09,1989-10-19,9999-01-01,Marketing
61147,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01,Marketing
61253,Cheong,Uhrik,1965-01-09,2002-05-09,9999-01-01,Research
61377,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01,Production
61541,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01,Development
61873,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01,Quality Management
62033,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01,Production
62046,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01,Production
62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Development
63294,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Production
63419,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01,Production
63441,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01,Human Resources
63566,Heekeun,Slaats,1965-01-31,1999-01-12,9999-01-01,Sales
63631,Falguni,Cherinka,1965-01-22,1987-10-15,9999-01-01,Customer Service
63706,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01,Development
64023,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01,Development
64209,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01,Customer Service
64487,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01,Quality Management
64532,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01,Production
64632,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01,Sales
64790,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01,Development
64828,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01,Sales
64984,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Quality Management
65171,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01,Production
65539,Aksel,Picaronny,1965-01-23,1991-01-27,9999-01-01,Development
65883,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01,Sales
65998,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01,Sales
66382,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Production
66530,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01,Research
66643,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01,Production
66702,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Development
66757,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01,Marketing
66807,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01,Development
67320,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01,Marketing
67548,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01,Human Resources
67934,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Production
68416,Munenori,Debuse,1965-01-27,1990-11-08,9999-01-01,Production
68608,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01,Production
68633,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01,Production
68648,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01,Development
69052,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01,Sales
69219,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01,Marketing
69867,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01,Sales
69878,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01,Development
69936,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01,Production
70469,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01,Marketing
70990,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01,Production
71066,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01,Sales
71141,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01,Human Resources
71188,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Sales
71243,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01,Production
71334,Cathie,Peck,1965-01-15,2001-03-04,9999-01-01,Research
71685,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Production
71710,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01,Development
71745,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Development
72190,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01,Development
72194,Feiyu,Siepmann,1965-01-26,1998-10-01,9999-01-01,Production
72232,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01,Quality Management
72640,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01,Quality Management
72918,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01,Sales
73076,Froduald,Feldhoffer,1965-01-22,1993-03-16,9999-01-01,Development
73233,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01,Production
73516,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01,Production
73743,Anneke,Bernardeschi,1965-01-15,2000-10-15,9999-01-01,Customer Service
74200,Holgard,Weiland,1965-01-16,1991-09-24,9999-01-01,Production
74344,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01,Development
74668,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Sales
74800,Yuuichi,Conde,1965-01-25,1989-03-08,9999-01-01,Production
75354,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Development
75703,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Development
76189,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Production
76201,Arif,Preusig,1965-01-10,1992-04-02,9999-01-01,Development
76640,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01,Quality Management
77030,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01,Development
77303,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01,Customer Service
77647,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01,Production
77815,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01,Development
78106,Ashish,Ratnaker,1965-01-09,2000-01-17,9999-01-01,Marketing
78363,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01,Quality Management
78469,Leucio,Cappelli,1965-01-28,1997-08-22,9999-01-01,Human Resources
78871,Conor,Ghandeharizadeh,1965-01-15,1985-05-25,9999-01-01,Development
79043,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01,Production
79171,Guiseppe,Ellozy,1965-01-19,1991-01-12,9999-01-01,Production
79310,Jeong,Cunliffe,1965-01-24,1996-10-27,9999-01-01,Marketing
79606,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01,Development
79763,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01,Marketing
79895,Fei,Murtagh,1965-01-30,1986-01-19,9999-01-01,Sales
80067,Kazuhisa,Weiland,1965-01-19,1985-11-09,9999-01-01,Customer Service
80203,Shakhar,Baik,1965-01-22,1993-12-01,9999-01-01,Sales
80432,Stella,Figueira,1965-01-17,1990-03-14,9999-01-01,Research
80731,Shaowen,Eldridge,1965-01-25,1987-12-05,9999-01-01,Sales
80850,Koldo,Luit,1965-02-01,1995-04-16,9999-01-01,Production
80889,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01,Development
80948,Harjit,Bardell,1965-01-27,1991-05-24,9999-01-01,Development
81105,Jaewon,Boissier,1965-01-14,1992-05-24,9999-01-01,Development
81545,Larisa,Kornyak,1965-01-13,2000-02-07,9999-01-01,Development
81644,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01,Sales
81995,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01,Development
82069,Yechezkel,Perfilyeva,1965-01-20,1994-11-03,9999-01-01,Production
82098,Poornachandra,Wilharm,1965-01-25,1991-04-20,9999-01-01,Production
82351,Stevo,Thambidurai,1965-01-26,1989-10-27,9999-01-01,Human Resources
82511,Uwe,Koblick,1965-01-27,1998-04-04,9999-01-01,Development
82919,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01,Development
82928,Alselm,Rikino,1965-01-27,1990-11-16,9999-01-01,Development
83280,Francesca,Ellozy,1965-01-07,1999-08-08,9999-01-01,Production
83289,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01,Development
83509,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01,Development
83544,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01,Sales
83714,Ohad,Kilgore,1965-01-27,2000-10-10,9999-01-01,Customer Service
83805,Manohar,Harllee,1965-01-23,1987-03-11,9999-01-01,Development
83941,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01,Research
84029,Babette,Eugenio,1965-01-27,1997-09-21,9999-01-01,Customer Service
